date_local,flag_text,normalized_flag,source_url,wayback_ts,wayback_url,fetched_at_utc
2023-08-18,Yellow Flag,yellow,https://www.visitpanamacitybeach.com/beach-alerts-iframe/,20230818154037,https://web.archive.org/web/20230818154037id_/https://www.visitpanamacitybeach.com/beach-alerts-iframe/,2025-08-09T03:04:07Z
2024-05-19,Red Flag,single_red,https://www.visitpanamacitybeach.com/beach-alerts-iframe/,20240519074527,https://web.archive.org/web/20240519074527id_/https://www.visitpanamacitybeach.com/beach-alerts-iframe/,2025-08-09T03:04:07Z
2024-05-24,Yellow Flag,yellow,https://www.visitpanamacitybeach.com/beach-alerts-iframe/,20240524073733,https://web.archive.org/web/20240524073733id_/https://www.visitpanamacitybeach.com/beach-alerts-iframe/,2025-08-09T03:04:07Z
2024-06-10,Yellow Flag,yellow,https://www.visitpanamacitybeach.com/beach-alerts-iframe/,20240610171109,https://web.archive.org/web/20240610171109id_/https://www.visitpanamacitybeach.com/beach-alerts-iframe/,2025-08-09T03:04:07Z
2024-07-23,Yellow Flag,yellow,https://www.visitpanamacitybeach.com/beach-alerts-iframe/,20240723212928,https://web.archive.org/web/20240723212928id_/https://www.visitpanamacitybeach.com/beach-alerts-iframe/,2025-08-09T03:04:07Z
2025-05-28,Yellow Flag,yellow,https://www.visitpanamacitybeach.com/beach-alerts-iframe/,20250528181810,https://web.archive.org/web/20250528181810id_/https://www.visitpanamacitybeach.com/beach-alerts-iframe/,2025-08-09T03:04:07Z
2025-06-16,Yellow Flag,yellow,https://www.visitpanamacitybeach.com/beach-alerts-iframe/,20250616200143,https://web.archive.org/web/20250616200143id_/https://www.visitpanamacitybeach.com/beach-alerts-iframe/,2025-08-09T03:04:07Z
2025-06-17,Red Flag,single_red,https://www.visitpanamacitybeach.com/beach-alerts-iframe/,20250617202039,https://web.archive.org/web/20250617202039id_/https://www.visitpanamacitybeach.com/beach-alerts-iframe/,2025-08-09T03:04:07Z
2025-06-18,Red Flag,single_red,https://www.visitpanamacitybeach.com/beach-alerts-iframe/,20250618121159,https://web.archive.org/web/20250618121159id_/https://www.visitpanamacitybeach.com/beach-alerts-iframe/,2025-08-09T03:04:07Z
2025-07-20,Yellow Flag,yellow,https://www.visitpanamacitybeach.com/beach-alerts-iframe/,20250720083140,https://web.archive.org/web/20250720083140id_/https://www.visitpanamacitybeach.com/beach-alerts-iframe/,2025-08-09T03:04:07Z
